medallion,hack_license,vendor_id,rate_code,store_and_fwd_flag,pickup_datetime,dropoff_datetime,passenger_count,trip_time_in_secs,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude
3456FF0ADCCA2059B16EFF7827A20B80,F73E50F78EA759805066E4BFCEF949C6,VTS,1,,2013-02-01 17:22:00,2013-02-01 17:28:00,1,360,1.34,-73.968597,40.763287,-73.958778,40.778019
4BAC2FBB8579978026CF09E4AC3C101D,CC05CECE44945B716B645425B4D2D0B2,VTS,1,,2013-02-01 17:02:00,2013-02-01 17:13:00,1,660,1.65,0,0,0,0
6AA6274F006E3C02ADC1BB3335456C7A,C776A77DB31A5D5B98E0D87AE39F13FB,VTS,1,,2013-02-01 16:29:00,2013-02-01 16:43:00,1,840,1.77,-73.970543,40.762005,-73.991669,40.750221
E8CEA6ABB6478DFCFD98C8E2953962A6,AA6536AEE1189F7D8E1F840DC899D8B4,VTS,1,,2013-02-01 18:14:00,2013-02-01 18:18:00,3,240,.82,-73.951881,40.777897,-73.952873,40.784794
6C394D1F58385C9888347C58531904AB,8D5ACA87E642B2C8682033EE11306B7D,VTS,1,,2013-02-01 18:14:00,2013-02-01 18:20:00,1,360,1.18,-73.986343,40.762589,-73.982109,40.777344
75D99CC82FA605FC92828660BD50AD47,E32A7CD4BDE9EC17A2EADA7A0662D6B6,VTS,1,,2013-02-01 17:29:00,2013-02-01 17:37:00,5,480,2.06,-73.961128,40.760807,-73.956337,40.783188
51888321D214151B956229F976FAC9D8,F181C52845B5AA6A2DDDAC0258991E05,VTS,4,,2013-02-01 17:07:00,2013-02-01 17:17:00,2,600,3.27,-73.778313,40.64679,-73.76487,40.666737
597E538F8E65F601A92EDFF912E90D01,927A52953628288013E57C6D2F4090DA,VTS,1,,2013-02-01 17:45:00,2013-02-01 18:18:00,1,1980,12.91,-73.781937,40.64476,-73.773117,40.750191
2448B617F670608F520543E8137F0A53,02255123A16360777DB85DBC7500B51A,VTS,1,,2013-02-01 17:55:00,2013-02-01 17:57:00,2,120,.58,-73.961052,40.775349,-73.957214,40.781185
E8CEA6ABB6478DFCFD98C8E2953962A6,AA6536AEE1189F7D8E1F840DC899D8B4,VTS,1,,2013-02-01 17:43:00,2013-02-01 17:58:00,3,900,2.30,-73.964249,40.808277,-73.949806,40.787418
7BAFC69155E60D8CF75B87C36E788363,D7405C2ED1F6CC21B030FF640C4A7B7A,VTS,1,,2013-02-01 17:53:00,2013-02-01 18:05:00,6,720,1.44,-73.785454,40.649658,-73.981743,40.759499
DFDB68490A89534268F7C443CB7F28F0,ACAAE78C8CB47D50A9951EF1063A2077,VTS,1,,2013-02-01 17:29:00,2013-02-01 17:49:00,1,1200,6.58,-74.008224,40.748623,-73.986977,40.672363
720E3C5D5FB1DF1943AE33F5FECF2B15,7446112B92993478B905BC47FAA49CE8,VTS,1,,2013-02-01 18:01:00,2013-02-01 18:11:00,1,600,1.78,-73.968727,40.799046,-73.982353,40.777409
9E07C0CBD7F85253EF9BE2F93FCA5969,B5C5FC3413C8E524A3306486A457B18F,VTS,1,,2013-02-01 18:09:00,2013-02-01 18:14:00,5,300,.44,-73.969124,40.753716,-73.964752,40.755783
FF1349BA61FA4983852AFCA56C7C0485,83AA5BCF383BE3224BBEE23836D94755,VTS,1,,2013-02-01 17:50:00,2013-02-01 18:14:00,1,1440,3.63,-73.976875,40.739155,-73.947426,40.783707
6BE5CD7C233585D5A455207B68ECA265,BEA780E1BE83AB4A9A79BDEE7E4D8CFD,VTS,1,,2013-02-01 18:18:00,2013-02-01 18:20:00,1,120,.45,-73.95433,40.784191,-73.958221,40.778759
424889EA2F2F8C2AE58766B3987A5802,E0278F58E8552413018DB0FB0C60B903,VTS,1,,2013-02-01 17:47:00,2013-02-01 18:17:00,2,1800,3.54,-73.987419,40.71991,-73.98085,40.680744
51AAA7E3524E2B57B08B45A1828A1F25,D90058CCE96D5D0CEF59C787FB896E41,VTS,1,,2013-02-01 18:13:00,2013-02-01 18:20:00,5,420,1.15,-74.008217,40.721069,-74.000305,40.732487
